Trimestre,Estado,Ingreso en millones de dolares
01/10/2006,Coahuila,66.4243
01/01/2007,Coahuila,66.5401
01/04/2007,Coahuila,78.7026
01/07/2007,Coahuila,76.9482
01/10/2007,Coahuila,71.0475
01/01/2008,Coahuila,65.0105
01/04/2008,Coahuila,76.5454
01/07/2008,Coahuila,70.6072
01/10/2008,Coahuila,66.199
01/01/2009,Coahuila,60.7406
01/04/2009,Coahuila,61.4305
01/07/2009,Coahuila,58.933
01/10/2009,Coahuila,53.0635
01/01/2010,Coahuila,58.0532
01/04/2010,Coahuila,60.9197
01/07/2010,Coahuila,59.2913
01/10/2010,Coahuila,55.7454
01/01/2011,Coahuila,55.2152
01/04/2011,Coahuila,64.9791
01/07/2011,Coahuila,64.8179
01/10/2011,Coahuila,61.957
01/01/2012,Coahuila,62.9102
01/04/2012,Coahuila,74.8558
01/07/2012,Coahuila,75.1477
01/10/2012,Coahuila,70.5956
01/01/2013,Coahuila,75.6802
01/04/2013,Coahuila,87.7625
01/07/2013,Coahuila,84.8156
01/10/2013,Coahuila,78.9341
01/01/2014,Coahuila,79.4514
01/04/2014,Coahuila,92.1145
01/07/2014,Coahuila,120.7202
01/10/2014,Coahuila,99.9693
01/01/2015,Coahuila,92.0097
01/04/2015,Coahuila,112.7057
01/07/2015,Coahuila,100.784
01/10/2015,Coahuila,95.4153
01/01/2016,Coahuila,93.4326
01/04/2016,Coahuila,106.6916
01/07/2016,Coahuila,108.0361
01/10/2016,Coahuila,111.9405
01/01/2017,Coahuila,109.9808
01/04/2017,Coahuila,126.0679
01/07/2017,Coahuila,131.004
01/10/2017,Coahuila,153.3541
01/01/2018,Coahuila,135.7919
01/04/2018,Coahuila,152.3128
01/07/2018,Coahuila,148.7562
01/10/2018,Coahuila,152.1087
01/01/2019,Coahuila,139.6597
01/04/2019,Coahuila,165.7706
01/07/2019,Coahuila,171.0495
01/10/2019,Coahuila,163.786
01/01/2020,Coahuila,160.5944
01/04/2020,Coahuila,183.239
01/07/2020,Coahuila,182.5131
01/10/2020,Coahuila,184.8591
01/01/2021,Coahuila,183.5633
01/04/2021,Coahuila,228.9021
01/01/2003,Colima,24.3048
01/04/2003,Colima,26.4262
01/07/2003,Colima,25.9999
01/10/2003,Colima,27.0087
01/01/2004,Colima,29.5465
01/04/2004,Colima,33.8036
01/07/2004,Colima,34.3311
01/10/2004,Colima,36.6642
01/01/2005,Colima,38.515
01/04/2005,Colima,42.4185
01/07/2005,Colima,42.0411
01/10/2005,Colima,42.1025
01/01/2006,Colima,42.9817
01/04/2006,Colima,47.8695
01/07/2006,Colima,46.7902
01/10/2006,Colima,45.458
01/01/2007,Colima,47.9253
01/04/2007,Colima,55.184
01/07/2007,Colima,51.1779
01/10/2007,Colima,45.3758
01/01/2008,Colima,42.7448
01/04/2008,Colima,47.5358
01/07/2008,Colima,46.1448
01/10/2008,Colima,48.2376
01/01/2009,Colima,45.3631
01/04/2009,Colima,41.8998
01/07/2009,Colima,40.1002
01/10/2009,Colima,37.4413
01/01/2010,Colima,40.8939
01/04/2010,Colima,44.8843
01/07/2010,Colima,43.642
01/10/2010,Colima,42.0981
01/01/2011,Colima,44.0247
01/04/2011,Colima,46.2423
01/07/2011,Colima,47.8114
01/10/2011,Colima,45.7439
01/01/2012,Colima,45.7617
01/04/2012,Colima,50.6983
01/07/2012,Colima,42.6619
01/10/2012,Colima,41.0481
01/01/2013,Colima,41.3592
01/04/2013,Colima,49.9285
01/07/2013,Colima,46.2587
01/10/2013,Colima,45.7579
01/01/2014,Colima,45.3559
01/04/2014,Colima,45.907
01/07/2014,Colima,68.7387
01/10/2014,Colima,56.7713
01/01/2015,Colima,57.3344
01/04/2015,Colima,61.4248
01/07/2015,Colima,55.8572
01/10/2015,Colima,54.0285
01/01/2016,Colima,56.1058
01/04/2016,Colima,61.6094
01/07/2016,Colima,63.8859
01/10/2016,Colima,70.5548
01/01/2017,Colima,65.2089
01/04/2017,Colima,75.5105
01/07/2017,Colima,77.2408
01/10/2017,Colima,85.5113
01/01/2018,Colima,83.4624
01/04/2018,Colima,83.3719
01/07/2018,Colima,73.5439
01/10/2018,Colima,81.569
01/01/2019,Colima,67.4691
01/04/2019,Colima,76.9046
01/07/2019,Colima,79.5152
01/10/2019,Colima,80.0409
01/01/2020,Colima,83.2237
01/04/2020,Colima,86.6159
01/07/2020,Colima,85.7324
01/10/2020,Colima,92.6577
01/01/2021,Colima,95.733
01/04/2021,Colima,109.5848
01/01/2003,Chiapas,86.784
01/04/2003,Chiapas,108.89
01/07/2003,Chiapas,117.8861
01/10/2003,Chiapas,121.5688
01/01/2004,Chiapas,108.1185
01/04/2004,Chiapas,162.05
01/07/2004,Chiapas,166.651
01/10/2004,Chiapas,150.7302
01/01/2005,Chiapas,148.3498
01/04/2005,Chiapas,202.8849
01/07/2005,Chiapas,209.6024
01/10/2005,Chiapas,204.5013
01/01/2006,Chiapas,206.0684
01/04/2006,Chiapas,264.0635
01/07/2006,Chiapas,246.8814
01/10/2006,Chiapas,223.8217
01/01/2007,Chiapas,202.3432
01/04/2007,Chiapas,243.5484
01/07/2007,Chiapas,254.0638
01/10/2007,Chiapas,221.1966
01/01/2008,Chiapas,183.9337
01/04/2008,Chiapas,225.1044
01/07/2008,Chiapas,215.9946
01/10/2008,Chiapas,186.0892
01/01/2009,Chiapas,151.9344
01/04/2009,Chiapas,165.1143
01/07/2009,Chiapas,161.3908
01/10/2009,Chiapas,131.2936
01/01/2010,Chiapas,122.4091
01/04/2010,Chiapas,163.9379
01/07/2010,Chiapas,157.4884
01/10/2010,Chiapas,130.62
01/01/2011,Chiapas,131.1926
01/04/2011,Chiapas,168.3967
01/07/2011,Chiapas,161.9014
01/10/2011,Chiapas,133.3374
01/01/2012,Chiapas,137.6118
01/04/2012,Chiapas,169.6967
01/07/2012,Chiapas,138.1476
01/10/2012,Chiapas,127.2785
01/01/2013,Chiapas,115.3825
01/04/2013,Chiapas,138.5823
01/07/2013,Chiapas,129.0062
01/10/2013,Chiapas,118.879
01/01/2014,Chiapas,124.8922
01/04/2014,Chiapas,146.0251
01/07/2014,Chiapas,108.4853
01/10/2014,Chiapas,122.6987
01/01/2015,Chiapas,127.4033
01/04/2015,Chiapas,135.4065
01/07/2015,Chiapas,160.027
01/10/2015,Chiapas,153.9332
01/01/2016,Chiapas,145.8517
01/04/2016,Chiapas,144.8183
01/07/2016,Chiapas,143.7785
01/10/2016,Chiapas,142.1463
01/01/2017,Chiapas,153.3761
01/04/2017,Chiapas,160.5252
01/07/2017,Chiapas,166.4373
01/10/2017,Chiapas,168.5304
01/01/2018,Chiapas,169.1253
01/04/2018,Chiapas,211.0624
01/07/2018,Chiapas,215.465
01/10/2018,Chiapas,224.8884
01/01/2019,Chiapas,222.7728
01/04/2019,Chiapas,279.8622
01/07/2019,Chiapas,268.5686
